1,about,bt,prep.,大约、关于
2,above,,prep.,在----上面
3,add, ,v.,加
4,adventure, ,n.,冒险
5,aeroplane, ,n.,飞机
6,afraid,,adj.,恐怕
7,afternoon,,n.,下午
8,again,,adv.,再一次
9,ago,,adv.,以前
10,all,,adv.,全部的
11,along,D,prep.,沿着
12,am,,v.,是
13,ambulance, ,n.,救护车
14,and,,conj.,和
15,angry,,adj.,生气
16,animal, ,n,动物
17,answer, ,v.,回答
18,any, ,adj.,任何
19,apple, ,n.,苹果
20,apple pie, ,black,苹果派
21,April, ,n.,四月
22,arm,,n.,手臂
23,art,,n.,艺术
24,ask, ,v.,问
25,asleep,,adj.,睡着的
26,assistant,,n.,助手
27,at,,prep.,在
28,August,,n.,八月
29,aunt,,n.,姨妈、舅妈、姑姑、婶婶
30,autumn, ,n.,秋天
31,aviary, ,n.,鸟舍
32,away,,adv.,离开
33,baby, ,n.,婴儿
34,back, ,n.,返回
35,bag, ,n.,包、袋
36,bake,,v.,烘烤
37,ball,,n.,球
38,balloon,,n.,气球
39,banana,,n.,香蕉
40,bar,,n.,酒吧
41,basket,   ,n.,篮子
42,bathroom, ,n.,浴室
43,be,,v.,是
44,beach,,n.,岸边
45,bean, ,n.,豆
46,bear,,n.,熊
47,beautiful,,adj.,漂亮的、美丽的
48,become,,v.,成为，变成
49,bed,,n.,床
50,bedroom, ,n.,卧室
51,bee,,n.,蜜蜂
52,behind,,prep.,在----后面
53,bell,,n.,铃
54,bench, ,n.,板凳
55,beside,,prep.,在-----旁边
56,between,,prep-,在两者之间
57,bicycle, ,n.,自行车
58,big, ,n.,大的
59,bike,,n.,自行车
60,bird,,n.,鸟
61,birthday, ,n.,生日
62,biscuit, ,n.,饼干
63,black,,adj.,黑色的
64,blackboard,D,n.,黑板
65,blind,,adj.,盲的、瞎的
66,block,D,n.,街区
67,blouse,,n.,（女士）短外套、罩衫
68,blow,,v.,吹
69,blue,,adj.,蓝色的
70,boat,,n.,小船
71,body,D,n.,身体
72,bone,,n.,骨头
73,book,,n.,书
74,bookshop, D,n.,书店
75,both,,adj/adv.,两者都
76,bottle,D,n.,瓶子
77,bowl,,n.,碗
78,box,D,n.,盒子
79,boy,,n.,男孩
80,brave,,adj.,勇敢的
81,bread,,n.,面包
82,break,,n.,休息
83,breakfast,,n.,早餐
84,bring,,n.,带来
85,brother,,n.,兄弟
86,brown,,adj.,褐色的、棕色的
87,build,,v.,建造
88,bus,,n.,公共汽车
89,busy,,adj..,忙的
90,but,,conj.,但是
91,butter, ,n.,黄油
92,butterfly, ,n.,蝴蝶
93,button, ,n.,纽扣
94,buy, ,v.,买
95,by,,prep.,靠近、在----旁边
96,cabbage,  ,n.,大白菜
97,cage,,n.,笼子
98,cake, ,n.,蛋糕
99,camera, ,n.,照相机
100,car, ,a,小汽车、轿车
101,card, ,n.,卡片
102,careful, ,adj.,仔细的、认真的
103,carrot, ,n.,胡萝卜
104,castle, ,n.,城堡
105,cat,,n.,猫
106,catch, ,v.,抓住
107,chair, ,n.,椅子
108,cheap, ,adj.,便宜的
109,chick,,n.,小鸡
110,chicken, ,n.,小鸡、小鸟、鸡肉
111,children, ,n.,孩子们
112,China, ,n.,中国
113,Chinese, ,adj./n.,中国的
114,chocolate, D,n.,巧克力
115,circle, s,adj.,圆的
116,class,,n.,班级
117,classmate, ,n.,同学
118,classroom, ,n.,教室
119,clean, ,v.,打扫
120,climb, ,v.,攀爬
121,clock, D,n.,时钟
122,close, ,v.,关
123,cloud, ,n.,云
